"(PDH-TSV 4.0) (Central Europe Standard Time)(-60)"	"MyApp.Server.exe"	"MyApp.Client.exe"	"Available Bytes"	"% Processor Time"	"python.exe"
"10/31/2023 09:34:15.606"	"485801984"	"1998045184"	"21518987264"	"18.765085323655395"	"28160000"
"10/31/2023 09:34:16.606"	"485842944"	"1998045184"	"21499912192"	"18.243894274641136"	"28160000"
"10/31/2023 09:34:17.617"	"485801984"	"1998045184"	"21505105920"	"20.619049706810877"	"28160000"
"10/31/2023 09:34:18.608"	"485842944"	"1998045184"	"21520347136"	"28.704583325980582"	"28160000"
"10/31/2023 09:34:19.609"	"485842944"	"1998045184"	"21538258944"	"20.861885118037925"	"28160000"
"10/31/2023 09:34:20.608"	"485842944"	"1998045184"	"21536821248"	"18.869076950449902"	"28160000"
"10/31/2023 09:34:21.609"	"485801984"	"1998045184"	"21540429824"	"22.804485152716836"	"28160000"
"10/31/2023 09:34:22.616"	"485842944"	"1998045184"	"21552828416"	"19.488778223166726"	"28160000"
"10/31/2023 09:34:23.609"	"485801984"	"1998045184"	"21554655232"	"18.788886871459688"	"28160000"
"10/31/2023 09:34:24.617"	"485842944"	"1998045184"	"21562212352"	"21.357350338270955"	"28160000"
"10/31/2023 09:34:25.610"	"485801984"	"1998045184"	"21565710336"	"19.781235186268098"	"28160000"
"10/31/2023 09:34:26.618"	"485842944"	"1998045184"	"21564305408"	"20.491445432356226"	"28160000"
"10/31/2023 09:34:27.619"	"485793792"	"1998045184"	"21561405440"	"29.015884965670523"	"28160000"
"10/31/2023 09:34:28.619"	"485793792"	"1998045184"	"21555281920"	"33.974033731085662"	"28160000"
"10/31/2023 09:34:29.619"	"485752832"	"1997967360"	"21565001728"	"31.524433795958583"	"28160000"
"10/31/2023 09:34:30.620"	"485793792"	"1997967360"	"21564252160"	"28.707750189735236"	"28160000"
"10/31/2023 09:34:31.605"	"485752832"	"1997967360"	"21564542976"	"30.563189847913108"	"28160000"
"10/31/2023 09:34:32.620"	"485793792"	"1997967360"	"21553119232"	"27.561611717168176"	"28160000"
"10/31/2023 09:34:33.612"	"485752832"	"1997967360"	"21555118080"	"31.501441045913726"	"28160000"
"10/31/2023 09:34:34.620"	"485793792"	"1997967360"	"21544587264"	"31.515509794087283"	"28160000"
"10/31/2023 09:34:35.614"	"485752832"	"1997967360"	"21549817856"	"23.760006334112994"	"28160000"
"10/31/2023 09:34:36.615"	"485793792"	"1997967360"	"21546741760"	"19.082564077611998"	"28160000"
"10/31/2023 09:34:37.615"	"485752832"	"1997967360"	"21549514752"	"19.894491926789769"	"28160000"
"10/31/2023 09:34:38.606"	"485793792"	"1997967360"	"21554745344"	"30.425483737043201"	"28160000"
"10/31/2023 09:34:39.607"	"485683200"	"1997967360"	"21549645824"	"21.819577392266552"	"28160000"
"10/31/2023 09:34:40.616"	"485683200"	"1998098432"	"21558517760"	"21.983559829432043"	"28160000"
"10/31/2023 09:34:41.615"	"485642240"	"2000056320"	"21551972352"	"26.159171993500085"	"28160000"
"10/31/2023 09:34:42.607"	"485683200"	"2000056320"	"21557985280"	"20.1935858226717"	"28160000"
"10/31/2023 09:34:43.609"	"485683200"	"1998225408"	"21555236864"	"22.303322520034207"	"28160000"
"10/31/2023 09:34:44.608"	"485683200"	"1998225408"	"21550542848"	"25.039730450680931"	"28160000"
"10/31/2023 09:34:45.617"	"485642240"	"1998295040"	"21579476992"	"25.774781794893144"	"28160000"
"10/31/2023 09:34:46.610"	"485683200"	"1998757888"	"21608280064"	"38.496599913789289"	"28160000"
"10/31/2023 09:34:47.609"	"485642240"	"1999155200"	"21613944832"	"26.648809312373455"	"28160000"
"10/31/2023 09:34:48.618"	"485683200"	"1999548416"	"21610016768"	"32.471406757107445"	"28160000"
"10/31/2023 09:34:49.612"	"485642240"	"2001321984"	"21605179392"	"32.798847868778566"	"28160000"
"10/31/2023 09:34:50.610"	"485683200"	"2001551360"	"21608632320"	"22.016167122764131"	"28160000"
"10/31/2023 09:34:51.619"	"485642240"	"2001551360"	"21613649920"	"21.154892090722921"	"28160000"
"10/31/2023 09:34:52.620"	"485683200"	"2001551360"	"21607223296"	"17.524753939230209"	"28160000"
"10/31/2023 09:34:53.605"	"485642240"	"2001682432"	"21532708864"	"28.078293195265314"	"28160000"
"10/31/2023 09:34:54.619"	"485683200"	"2001649664"	"21480759296"	"30.284982768236123"	"28160000"
"10/31/2023 09:34:55.605"	"485642240"	"2001715200"	"21488021504"	"19.140793496317077"	"28160000"
"10/31/2023 09:34:56.606"	"485683200"	"2001715200"	"21485289472"	"19.905148385767045"	"28160000"
"10/31/2023 09:34:57.605"	"485683200"	"2001715200"	"21488377856"	"19.422906039460663"	"28160000"
"10/31/2023 09:34:58.613"	"485683200"	"2001715200"	"21486321664"	"30.357736999981043"	"28160000"
"10/31/2023 09:34:59.606"	"485642240"	"2001715200"	"21487247360"	"22.162315404864653"	"28160000"
"10/31/2023 09:35:00.614"	"485683200"	"2001936384"	"21484744704"	"19.60468413533998"	"28160000"
"10/31/2023 09:35:01.607"	"485892096"	"2002006016"	"21484482560"	"24.788581163931923"	"28160000"
"10/31/2023 09:35:02.607"	"866099200"	"2002444288"	"21065404416"	"33.067652424245786"	"28160000"
"10/31/2023 09:35:03.616"	"867495936"	"2002608128"	"21057810432"	"39.859102188527963"	"28160000"
"10/31/2023 09:35:04.615"	"868155392"	"2002608128"	"21071020032"	"36.149425488658636"	"28160000"
"10/31/2023 09:35:05.608"	"868794368"	"2002608128"	"21073657856"	"37.535883585806772"	"28160000"
"10/31/2023 09:35:06.608"	"870281216"	"2002608128"	"21064867840"	"34.562559372965531"	"28160000"
"10/31/2023 09:35:07.608"	"871137280"	"2002608128"	"21066203136"	"33.434151177744972"	"28160000"
"10/31/2023 09:35:08.617"	"871702528"	"2002608128"	"21059538944"	"43.210275975787994"	"28160000"
"10/31/2023 09:35:09.618"	"872198144"	"2002608128"	"21072568320"	"32.076154454290275"	"28160000"
"10/31/2023 09:35:10.609"	"486895616"	"2002456576"	"21445406720"	"25.658865637266757"	"28160000"
"10/31/2023 09:35:11.611"	"486903808"	"2002423808"	"21431336960"	"23.30316958919536"	"28160000"
"10/31/2023 09:35:12.618"	"486944768"	"2002423808"	"21444554752"	"20.668692586868566"	"28160000"
"10/31/2023 09:35:13.611"	"486944768"	"2002423808"	"21437952000"	"19.964359003684518"	"28160000"
"10/31/2023 09:35:14.619"	"486944768"	"2002423808"	"21447462912"	"19.780898756574405"	"28160000"
"10/31/2023 09:35:15.613"	"486903808"	"2002423808"	"21442760704"	"23.500157141149771"	"28160000"
"10/31/2023 09:35:16.611"	"486944768"	"2002423808"	"21443555328"	"19.904177043746685"	"28160000"
"10/31/2023 09:35:17.613"	"486903808"	"2002456576"	"21448945664"	"22.408287881073075"	"28160000"
"10/31/2023 09:35:18.605"	"486944768"	"2002423808"	"21414977536"	"27.037550916663722"	"28160000"
"10/31/2023 09:35:19.604"	"486903808"	"2002391040"	"21312630784"	"23.76929276322538"	"28160000"
"10/31/2023 09:35:20.613"	"486944768"	"2002456576"	"21223120896"	"23.991307426210049"	"28160000"
"10/31/2023 09:35:21.614"	"486903808"	"2002456576"	"21109141504"	"19.594328249488278"	"28160000"
"10/31/2023 09:35:22.608"	"486944768"	"2002489344"	"21037723648"	"22.488816015524094"	"28160000"
"10/31/2023 09:35:23.606"	"486903808"	"2002489344"	"20981837824"	"30.978060349120884"	"28160000"
"10/31/2023 09:35:24.607"	"486944768"	"2002489344"	"20857323520"	"25.679371023765739"	"28160000"
"10/31/2023 09:35:25.615"	"486973440"	"2002489344"	"20817760256"	"25.065130703947414"	"28160000"
"10/31/2023 09:35:26.607"	"487014400"	"2002489344"	"20887965696"	"26.549802455073156"	"28160000"
"10/31/2023 09:35:27.608"	"487014400"	"2002489344"	"20957696000"	"20.769699298649279"	"28160000"
"10/31/2023 09:35:28.616"	"487014400"	"2002489344"	"20962701312"	"28.022957692496252"	"28160000"
"10/31/2023 09:35:29.617"	"487014400"	"2002489344"	"21026750464"	"20.812359350276299"	"28160000"
"10/31/2023 09:35:30.610"	"486973440"	"2002554880"	"21078327296"	"20.265020963418866"	"28160000"
"10/31/2023 09:35:31.610"	"487014400"	"2002620416"	"21121597440"	"20.141018878556437"	"28160000"
"10/31/2023 09:35:32.612"	"431407104"	"2002759680"	"21043826688"	"32.34341561803685"	"28160000"
"10/31/2023 09:35:33.617"	"613236736"	"2002759680"	"20774727680"	"31.600479144861726"	"28160000"
"10/31/2023 09:35:34.611"	"942858240"	"2002829312"	"20396097536"	"32.912827603418229"	"28160000"
"10/31/2023 09:35:35.612"	"1113067520"	"2002829312"	"20063825920"	"36.151925610120252"	"28160000"
"10/31/2023 09:35:36.614"	"1399386112"	"2002829312"	"19728965632"	"33.960720980625659"	"28160000"
"10/31/2023 09:35:37.613"	"1600524288"	"2002829312"	"19526799360"	"27.245968581773905"	"28160000"
"10/31/2023 09:35:38.613"	"1600520192"	"2002829312"	"19599130624"	"30.213225074244797"	"28160000"
"10/31/2023 09:35:39.608"	"1600483328"	"2002829312"	"19635933184"	"22.782537374716117"	"28160000"
"10/31/2023 09:35:40.613"	"1600483328"	"2002960384"	"19827486720"	"22.458972339764927"	"28160000"
"10/31/2023 09:35:41.615"	"1600442368"	"2002960384"	"19913936896"	"20.971243083694645"	"28160000"
"10/31/2023 09:35:42.608"	"1600483328"	"2002960384"	"19956846592"	"15.93447518334038"	"28160000"
"10/31/2023 09:35:43.609"	"1600483328"	"2002960384"	"19992715264"	"24.138684329658101"	"28160000"
"10/31/2023 09:35:44.614"	"1600483328"	"2002960384"	"20049084416"	"22.056715487071131"	"28160000"
"10/31/2023 09:35:45.606"	"1600442368"	"2002960384"	"20106297344"	"19.006193909970449"	"28160000"
"10/31/2023 09:35:46.607"	"1600483328"	"2002960384"	"20122943488"	"23.878385489899568"	"28160000"
"10/31/2023 09:35:47.613"	"1600442368"	"2002960384"	"20150153216"	"20.632628403177534"	"28160000"
"10/31/2023 09:35:48.609"	"1600483328"	"2002960384"	"20189106176"	"27.883358770231414"	"28160000"
"10/31/2023 09:35:49.607"	"1600442368"	"2002960384"	"20227297280"	"20.386066097129962"	"28160000"
"10/31/2023 09:35:50.608"	"1600483328"	"2002960384"	"20253519872"	"19.360331967549214"	"28160000"
"10/31/2023 09:35:51.616"	"1600442368"	"2002960384"	"20263137280"	"20.015235011867372"	"28160000"
"10/31/2023 09:35:52.617"	"1600483328"	"2002960384"	"20285333504"	"18.244835739589849"	"28160000"
"10/31/2023 09:35:53.617"	"1600442368"	"2002960384"	"20316311552"	"19.764237392764585"	"28160000"
"10/31/2023 09:35:54.610"	"1600483328"	"2002960384"	"20314046464"	"19.343977665576084"	"28160000"
"10/31/2023 09:35:55.610"	"1600442368"	"2002927616"	"20339298304"	"21.457463472732108"	"28160000"
"10/31/2023 09:35:56.618"	"1600434176"	"2002927616"	"20368834560"	"22.54751220626423"	"28160000"
"10/31/2023 09:35:57.611"	"1600434176"	"2002927616"	"20380635136"	"18.803899518226896"	"28160000"
"10/31/2023 09:35:58.619"	"1600434176"	"2002927616"	"20390248448"	"28.026164855380063"	"28160000"
"10/31/2023 09:35:59.619"	"1600393216"	"2002927616"	"20403130368"	"20.234974799145167"	"28160000"
"10/31/2023 09:36:00.619"	"1600434176"	"2002927616"	"20420726784"	"19.284285309638882"	"28160000"
"10/31/2023 09:36:01.612"	"1600393216"	"2002927616"	"20425367552"	"17.98343991360165"	"28160000"
"10/31/2023 09:36:02.620"	"1600434176"	"2002927616"	"20438220800"	"19.320245492681632"	"28160000"
"10/31/2023 09:36:03.605"	"1600393216"	"2002927616"	"20444131328"	"20.908117532182125"	"28160000"
"10/31/2023 09:36:04.605"	"1600434176"	"2002698240"	"20445790208"	"22.657441075407437"	"28160000"
"10/31/2023 09:36:05.605"	"1600393216"	"2002698240"	"20459327488"	"20.466466666406745"	"28160000"
"10/31/2023 09:36:06.605"	"1600434176"	"2002698240"	"20453109760"	"20.415539865310016"	"28160000"
"10/31/2023 09:36:07.613"	"1600393216"	"2002698240"	"20469698560"	"23.409751442758832"	"28160000"
"10/31/2023 09:36:08.606"	"1600434176"	"2002698240"	"20470034432"	"27.198404655070629"	"28160000"
"10/31/2023 09:36:09.615"	"1600434176"	"2002698240"	"20474580992"	"20.547564580097866"	"28160000"
"10/31/2023 09:36:10.607"	"1600323584"	"2002698240"	"20471406592"	"18.645818364164533"	"28160000"
"10/31/2023 09:36:11.607"	"1600323584"	"2002698240"	"20482564096"	"19.373497986912326"	"28160000"
"10/31/2023 09:36:12.615"	"1600323584"	"2002698240"	"20480606208"	"19.498349969920969"	"28160000"
"10/31/2023 09:36:13.616"	"1600323584"	"2002698240"	"20486021120"	"20.704843352115088"	"28160000"
"10/31/2023 09:36:14.618"	"1600323584"	"2002698240"	"20487225344"	"20.054898648648646"	"28160000"
"10/31/2023 09:36:15.617"	"1600323584"	"2002698240"	"20483477504"	"20.38733939454891"	"28160000"
"10/31/2023 09:36:16.609"	"1600323584"	"2002698240"	"20491223040"	"17.80217783299959"	"28160000"
"10/31/2023 09:36:17.618"	"1600323584"	"2002698240"	"20487331840"	"22.919211133039617"	"28160000"
"10/31/2023 09:36:18.610"	"1600323584"	"2002698240"	"20493271040"	"27.435696554815546"	"28160000"
"10/31/2023 09:36:19.610"	"1600323584"	"2002698240"	"20489875456"	"22.57727062003072"	"28160000"
"10/31/2023 09:36:20.618"	"1600323584"	"2002698240"	"20496498688"	"21.048896572119268"	"28160000"
"10/31/2023 09:36:21.611"	"1600323584"	"2002698240"	"20491886592"	"21.033419658661856"	"28160000"
"10/31/2023 09:36:22.618"	"1600323584"	"2002698240"	"20485984256"	"20.532111859817281"	"28160000"
"10/31/2023 09:36:23.612"	"1600323584"	"2002698240"	"20493971456"	"23.86483169176158"	"28160000"
"10/31/2023 09:36:24.613"	"1600323584"	"2002698240"	"20491886592"	"20.75548477566025"	"28160000"
"10/31/2023 09:36:25.612"	"1600323584"	"2002698240"	"20495368192"	"19.633958740681056"	"28160000"
"10/31/2023 09:36:26.619"	"1600323584"	"2002698240"	"20492922880"	"20.196090332038573"	"28160000"
"10/31/2023 09:36:27.614"	"1600323584"	"2002698240"	"20494319616"	"24.465278908136746"	"28160000"
"10/31/2023 09:36:28.613"	"1600323584"	"2002698240"	"20497903616"	"37.218124876895409"	"28160000"
"10/31/2023 09:36:29.614"	"1600323584"	"2002698240"	"20502622208"	"23.878375496497217"	"28160000"
